QT000000|Qualifier|%|NCI_ICH|C0439165|Measurement property|010
QT000001|Qualifier|%|NCI_ICH|C0439165|Measurement property|010
QT000002|Qualifier|%|NCI_NCI-HL7|C0439165|Measurement property|010
QT000003|Qualifier|%|NCI_NCI-HL7|C0439165|Measurement property|010
QT000004|Qualifier|%|NCI_UCUM|C0439165|Measurement property|010
QT000005|Qualifier|%|NCI_UCUM|C0439165|Measurement property|010
QT000006|Qualifier|%|NCI|C0439165|Measurement property|010
QT000007|Qualifier|%|NCI|C0439165|Measurement property|010
QT000008|Qualifier|%|SNOMEDCT_US|C0439165|Measurement property|010
QT000009|Qualifier|%|SNOMEDCT_US|C0439165|Measurement property|010
QT000010|Qualifier|(Amylase+Glycine max+Sitophilus granarius+Triticum sativum) Ab.IgE.RAST class:PrThr:Pt:Ser:Ord:Multidisk|LNC|C4264820|Maximum|026
QT000011|Qualifier|(Amylase+Glycine max+Sitophilus granarius+Triticum sativum) Ab.IgE:ACnc:Pt:Ser:Qn:Multidisk|LNC|C4264819|Maximum|026
QT000012|Qualifier|(Amylase+Glycine max+Sitophilus granarius+Triticum sativum) Ab.IgE:PrThr:Pt:Ser:Ord:Multidisk|LNC|C0798409|Maximum|026
QT000013|Qualifier|(Amylase+Glycine max+Sitophilus granarius+Triticum sativum) Antibody.immunoglobulin E.RAST class:Presence or Threshold:Point in time:Serum:Ordinal:Multidisk|LNC|C4264820|Maximum|026
QT000014|Qualifier|(Amylase+Glycine max+Sitophilus granarius+Triticum sativum) Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative:Multidisk|LNC|C4264819|Maximum|026
QT000015|Qualifier|(Amylase+Glycine max+Sitophilus granarius+Triticum sativum) Antibody.immunoglobulin E:Presence or Threshold:Point in time:Serum:Ordinal:Multidisk|LNC|C0798409|Maximum|026
QT000016|Qualifier|(Arachis hypogaea+Bean white+Glycine max+Lens esculenta+Pisum sativum) Ab.IgE:ACnc:Pt:Ser:Qn:Multidisk|LNC|C1977027|Maximum|026
QT000017|Qualifier|(Arachis hypogaea+Bean white+Glycine max+Lens esculenta+Pisum sativum) Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative:Multidisk|LNC|C1977027|Maximum|026
QT000018|Qualifier|(Arachis hypogaea+Cow milk+Egg white+Gadus morhua+Glycine max+Triticum aestivum) Ab.IgE.RAST class:PrThr:Pt:Ser:Ord:Multidisk|LNC|C0881731|Maximum|026
QT000019|Qualifier|(Arachis hypogaea+Cow milk+Egg white+Gadus morhua+Glycine max+Triticum aestivum) Ab.IgE:ACnc:Pt:Ser:Qn:Multidisk|LNC|C1114072|Maximum|026
QT000020|Qualifier|(Arachis hypogaea+Cow milk+Egg white+Gadus morhua+Glycine max+Triticum aestivum) Ab.IgE:PrThr:Pt:Ser:Ord:Multidisk|LNC|C0881163|Maximum|026
QT000021|Qualifier|(Arachis hypogaea+Cow milk+Egg white+Gadus morhua+Glycine max+Triticum aestivum) Antibody.immunoglobulin E.RAST class:Presence or Threshold:Point in time:Serum:Ordinal:Multidisk|LNC|C0881731|Maximum|026
QT000022|Qualifier|(Arachis hypogaea+Cow milk+Egg white+Gadus morhua+Glycine max+Triticum aestivum) Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative:Multidisk|LNC|C1114072|Maximum|026
QT000023|Qualifier|(Arachis hypogaea+Cow milk+Egg white+Gadus morhua+Glycine max+Triticum aestivum) Antibody.immunoglobulin E:Presence or Threshold:Point in time:Serum:Ordinal:Multidisk|LNC|C0881163|Maximum|026
QT000024|Qualifier|(Arachis hypogaea+Cow milk+Egg white+Glycine max+Triticum aestivum) Ab.IgE:PrThr:Pt:Ser:Ord:Multidisk|LNC|C0798391|Maximum|026
QT000025|Qualifier|(Arachis hypogaea+Cow milk+Egg white+Glycine max+Triticum aestivum) Antibody.immunoglobulin E:Presence or Threshold:Point in time:Serum:Ordinal:Multidisk|LNC|C0798391|Maximum|026
QT000026|Qualifier|(Arachis hypogaea+Cow milk+Egg white+Glycine max+Triticum aestivum+Oryza sativa) Ab.IgE:ACnc:Pt:Ser:Qn:Multidisk|LNC|C3846966|Maximum|026
QT000027|Qualifier|(Arachis hypogaea+Cow milk+Egg white+Glycine max+Triticum aestivum+Oryza sativa) Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative:Multidisk|LNC|C3846966|Maximum|026
QT000028|Qualifier|(Arachis hypogaea+Glycine max+Pisum sativum) Ab.IgE.RAST class:PrThr:Pt:Ser:Ord:Multidisk|LNC|C4264848|Maximum|026
QT000029|Qualifier|(Arachis hypogaea+Glycine max+Pisum sativum) Ab.IgE:ACnc:Pt:Ser:Qn:Multidisk|LNC|C3654280|Maximum|026
QT000030|Qualifier|(Arachis hypogaea+Glycine max+Pisum sativum) Ab.IgE:PrThr:Pt:Ser:Ord:Multidisk|LNC|C0798419|Maximum|026
QT000031|Qualifier|(Arachis hypogaea+Glycine max+Pisum sativum) Antibody.immunoglobulin E.RAST class:Presence or Threshold:Point in time:Serum:Ordinal:Multidisk|LNC|C4264848|Maximum|026
QT000032|Qualifier|(Arachis hypogaea+Glycine max+Pisum sativum) Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative:Multidisk|LNC|C3654280|Maximum|026
